Date,portfolio,Rolling_VaR_95,Violation_95,Rolling_VaR_99,Violation_99,var_moderate_threshold,var_high_threshold,risk_regime,suggested_exposure,reduce_signal
2022-06-17,-0.0052926215392056,-0.0227794112343495,False,-0.0434462395097356,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,False
2022-06-20,-0.0110304478578884,-0.0227794112343495,False,-0.0434462395097356,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,False
2022-06-21,0.0089855269922369,-0.0227794112343495,False,-0.0434462395097356,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,False
2022-06-22,-0.0368883193863885,-0.0238340236282537,True,-0.0439270340777494,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,False
2022-06-23,-0.0109617809630543,-0.0238340236282537,False,-0.0439270340777494,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,False
2022-06-24,0.0213567087562838,-0.0238340236282537,False,-0.0439270340777494,False,-0.0227794112343495,-0.022884872473739923,HIGH,0.6,False
2022-06-27,0.025744596360564,-0.0238340236282537,False,-0.0439270340777494,False,-0.0227794112343495,-0.0238340236282537,HIGH,0.6,False
2022-06-28,0.0113918244637007,-0.0238340236282537,False,-0.0439270340777494,False,-0.0227794112343495,-0.0238340236282537,HIGH,0.6,False
2022-06-29,-0.0158171967330981,-0.0238340236282537,False,-0.0439270340777494,False,-0.02299033371313034,-0.0238340236282537,HIGH,0.6,False
2022-06-30,-0.0396065708245865,-0.024632606628263,True,-0.0453133423112303,False,-0.0238340236282537,-0.0238340236282537,HIGH,0.6,False
2022-07-01,-0.0305580210582794,-0.0253651339614809,True,-0.0453133423112303,False,-0.0238340236282537,-0.0238340236282537,HIGH,0.6,False
2022-07-04,0.0074065699435445,-0.0253651339614809,False,-0.0453133423112303,False,-0.0238340236282537,-0.023913881928254627,HIGH,0.6,False
2022-07-05,0.0322655819494705,-0.0253651339614809,False,-0.0453133423112303,False,-0.0238340236282537,-0.02470585936158479,HIGH,0.6,False
2022-07-06,-0.0149617119773841,-0.0253651339614809,False,-0.0453133423112303,False,-0.0238340236282537,-0.0253651339614809,HIGH,0.6,False
2022-07-07,0.0288410424340488,-0.0253651339614809,False,-0.0453133423112303,False,-0.02399374022825556,-0.0253651339614809,HIGH,0.6,False
2022-07-08,0.0035574248368811,-0.0253651339614809,False,-0.0453133423112303,False,-0.024779112094906578,-0.0253651339614809,HIGH,0.6,False
2022-07-11,-0.0095888450019334,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-12,-0.0047862045001884,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-13,0.0019173466944958,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-14,0.0052216292430556,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-15,0.0347352512891404,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-18,0.0168515880689894,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-19,-0.0093567217634287,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-20,0.0128588401849773,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-21,0.0134531978907688,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-22,-0.0103512259775707,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-25,-0.0070101535400422,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-26,0.0078933198237534,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-27,-0.0052930500274328,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-28,0.0114679833542442,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-07-29,-0.0130030771330935,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-08-01,0.004823978885337,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-08-02,-0.0062476159673368,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-08-03,0.0093287787158517,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-08-04,0.0027878871949296,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
2022-08-05,0.0084562031773182,-0.0253651339614809,False,-0.0453133423112303,False,-0.0253651339614809,-0.0253651339614809,HIGH,0.6,False
